frame_id,relative_path,reason
5023,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213204800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213204800_12.2_54.2_73.0_135.0.png'
5024,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213205400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213205400_12.2_54.2_73.0_135.0.png'
5025,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213210000_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213210000_12.2_54.2_73.0_135.0.png'
5026,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213210600_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213210600_12.2_54.2_73.0_135.0.png'
5027,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213211200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213211200_12.2_54.2_73.0_135.0.png'
5028,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213211800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213211800_12.2_54.2_73.0_135.0.png'
5029,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213212400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213212400_12.2_54.2_73.0_135.0.png'
5030,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213213000_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213213000_12.2_54.2_73.0_135.0.png'
5031,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213213600_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213213600_12.2_54.2_73.0_135.0.png'
5032,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213214200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213214200_12.2_54.2_73.0_135.0.png'
5033,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213214800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213214800_12.2_54.2_73.0_135.0.png'
5034,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213215400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213215400_12.2_54.2_73.0_135.0.png'
5035,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213220000_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213220000_12.2_54.2_73.0_135.0.png'
5036,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213220600_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213220600_12.2_54.2_73.0_135.0.png'
5037,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213221200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213221200_12.2_54.2_73.0_135.0.png'
5038,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213221800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213221800_12.2_54.2_73.0_135.0.png'
5039,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213222400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213222400_12.2_54.2_73.0_135.0.png'
